T      sigma
5.000	0.032
4.000	0.047
3.333	0.067
2.857	0.097
2.500	0.142
2.222	0.215
2.000	0.328
1.818	0.462
1.667	0.578
1.538	0.666
1.429	0.732
1.333	0.781
1.250	0.819
1.176	0.848
1.111	0.872
1.053	0.890
1.000	0.905
0.952	0.918
0.909	0.928
0.870	0.937
0.833	0.944
0.800	0.950
0.769	0.955
0.741	0.960
0.714	0.964
0.690	0.967
0.667	0.970
0.645	0.972
0.625	0.975
0.606	0.976
0.588	0.978
0.571	0.980
0.556	0.981
0.541	0.982
0.526	0.983
0.513	0.984
0.500	0.985
